img_path,summary,question_resolution,question,answer_resolution,abstractive_answer,extractive_answer,decontextualizated_text_added,decontextualizated_text_removed,extra_added_text,title,original_answer
mturk_charts/no_data/two_col/24293.png,"As the following charts show , the differences between dial - up and broadband users persist in our October 2002 data , but they are much smaller for dial - up users with 6 or more years of online experience who say they want broadband .   This is especially true for information gathering activities .   Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users who want broadband .",same,Compare the proportion of dial-up users and broadband users who get their news on the internet.,answer1,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users .,activities .   Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced users,activities  ,dial - up who want,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users .,Information Gathering,Two in five ( 41 % ) of broadband users get news on the Internet on a typical day compared with 35 % of experienced dial - up users who want broadband .
mturk_charts/no_data/two_col/22662.png,"By and large , European Muslims – irrespective of their views about the riots per se – say they are sympathetic to the youths from immigrant and working class suburbs in France who felt frustrated by their place in French society . Muslims in Great Britain are most sympathetic ( 75 % so indicate ) followed by those in France and Spain ( 63 % of Muslims in both countries ) .",same,What is the European Muslims' opinion about the youth who rioted in France?,answer1,Muslims in Great Britain are most sympathetic ( 75 % so indicate ) followed by those in France and Spain ( 63 % of Muslims in both countries ) .,Muslims in Great Britain are most sympathetic ( 75 % so indicate ) followed by those in France and Spain ( 63 % of Muslims in both countries ) .,,,,Sympathetic With Youth Who Rioted in France?,Muslims in Great Britain are most sympathetic ( 75 % so indicate ) followed by those in France and Spain ( 63 % of Muslims in both countries ) .
mturk_charts/no_data/two_col/22605.png,"Despite their relatively secular worldview , Lebanese Muslims are among the most supportive of terrorist acts in the name of Islam . In 2005 , 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies . Only Jordan , at 57 % , registered more support for suicide attacks.1 In Morocco , Turkey , and Indonesia , fewer than one - in - five Muslims believe such attacks can often or sometimes be justified .",same,Describe the proportion Lebanese Muslims that support suicide bombing.,answer1,"In 2005 , 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies .","In 2005 , 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies .",,Only Jordan at 57 registered more support for attacks.1,,Support for Suicide Bombing in Defense of Islam,"In 2005 , 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies . Only Jordan , at 57 % , registered more support for suicide attacks.1"
mturk_charts/no_data/two_col/22594.png,"Despite their relatively secular worldview , Lebanese Muslims are among the most supportive of terrorist acts in the name of Islam . In 2005 , 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies . Only Jordan , at 57 % , registered more support for suicide attacks.1 In Morocco , Turkey , and Indonesia , fewer than one - in - five Muslims believe such attacks can often or sometimes be justified .",same,Describe the proportion of Lebanese Muslims who supported terrorist acts in the name of Islam.,same,Despite Lebanese Muslims are among the most supportive of terrorist acts in the name of Islam . 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies .,Despite Lebanese Muslims are among the most supportive of terrorist acts in the name of Islam . 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies .,Despite,"In 2005 ,",,Support for Suicide Bombing in Defense of Islam,"Lebanese Muslims are among the most supportive of terrorist acts in the name of Islam . In 2005 , 39 % said suicide bombing and other forms of violence against civilians are often or sometimes justified in order to defend Islam from its enemies"
mturk_charts/no_data/two_col/22441.png,"On a typical day in August , 26 million Americans were using the internet for news or information about politics and the upcoming mid - term elections . That corresponds to 19 % of adult internet users , or 13 % of all Americans over the age of 18 . Comparing August 2006 figures to a similar point in the 2002 mid - term election cycle is particularly revealing . In July 2002 , approximately 11 million Americans , or 13 % of online users , said they got some news or information about politics and the campaign from the internet on the average day . The August 2006 number is nearly two - and - a - half times larger than the mid - summer 2002 figure .",same,Describe the trend in the number of Americans saying they received news on political information on an average day from July 2002 to August 2006.,new_answer,"In July 2002 , approximately 11 million Americans said they got some news or information about politics and the campaign from the internet on the average day . The August 2006 number is nearly two - and - a - half times larger than the 2002 figure .","In July 2002 , approximately 11 million Americans said they got some news or information about politics and the campaign from the internet on the average day . The August 2006 number is nearly two - and - a - half times larger than the 2002 figure .",,,,Getting news and information about politics,"In July 2002 , approximately 11 million Americans said they got some news or information about politics and the campaign from the internet on the average day . The August 2006 number is nearly two - and - a - half times larger than the 2002 figure ."
mturk_charts/no_data/two_col/22115.png,"There also are striking educational differences in partisans ’ views of global warming . Among Republicans , higher education is linked to greater skepticism about global warming — fully 43 % of Republicans with a college degree say that there is no evidence of global warming , compared with 24 % of Republicans with less education . But among Democrats , the pattern is the reverse . Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities . This is far higher than among Democrats with less education among whom 52 % say the same . Independents , regardless of education levels , fall in between these partisan extremes .",same,Compare the percentage of Democratic graduates and non-graduates who believe global warming is caused by human activity.,answer1,Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities . This is far higher than among Democrats with less education among whom 52 % say the same .,Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities . This is far higher than among Democrats with less education among whom 52 % say the same .,This far higher than among less education among whom 52 the same,fully 43 Republicans a degree no,,Party fand Education Percent who believe global warming is happening due to human activity,fully 43 % of Republicans with a college degree say that there is no evidence of global warming . Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities
mturk_charts/no_data/two_col/22111.png,"There also are striking educational differences in partisans ’ views of global warming . Among Republicans , higher education is linked to greater skepticism about global warming — fully 43 % of Republicans with a college degree say that there is no evidence of global warming , compared with 24 % of Republicans with less education . But among Democrats , the pattern is the reverse . Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities . This is far higher than among Democrats with less education among whom 52 % say the same . Independents , regardless of education levels , fall in between these partisan extremes .",same,Describe the proportion of Democrats with college degrees that believe global warming is happening due to human activity.,new_answer,Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities .,Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities .,,,,Party fand Education Percent who believe global warming is happening due to human activity,Fully 75 % of Democrats with college degrees say that there is solid evidence of global warming and that it is caused by human activities .
mturk_charts/no_data/two_col/21887.png,"Most women ( 71 % ) say it is more difficult to be a mother today than it was 20 or 30 years ago . But in Pew ’s 1997 motherhood survey , an even greater percentage of women expressed this view ( 81 % ) .",same,What is the trend in the opinion of women about motherhood difficulties since 1997?,answer1,"Most women ( 71 % ) say it is more difficult to be a mother today than it was 20 or 30 years ago . in 1997 , an even greater percentage of women expressed this view ( 81 % ) .","Most women ( 71 % ) say it is more difficult to be a mother today than it was 20 or 30 years ago . in 1997 , an even greater percentage of women expressed this view ( 81 % ) .",,But Pew ’s motherhood survey,,"Ten Years Later: Women Still View Motherhood as More Difficult Being mother today US, 20-30 years ago ","Most women ( 71 % ) say it is more difficult to be a mother today than it was 20 or 30 years ago . But in Pew ’s 1997 motherhood survey , an even greater percentage of women expressed this view ( 81 % )"
mturk_charts/no_data/two_col/21875.png,"While the media ’s top story last week was the Iraq policy debate , the public remained focused on the aftermath of the shootings at Virginia Tech University . Fully 43 % of Americans followed news about the shootings very closely , and 46 % said this was the single news story they followed more closely than any other last week . News coverage of the Virginia Tech shootings fell off dramatically from the previous week : 7 % of the news coverage across all media sectors was devoted to the story last week , compared to 51 % the week the shootings took place . The second most closely followed news story , far behind the shootings , was the situation in Iraq — 27 % of the public followed events in Iraq very closely and 15 % said this was the news story they followed more closely than any other last week . Over the past month , the public has consistently expressed greater interest in the war itself than in the policy debate",same,Describe the news gaining most interest in the week of April 23.,answer1,"the public focused on the aftermath of the shootings at Virginia Tech University . 46 % said this was the single news story they followed more closely than any other last week . The second most closely followed news story , far behind the shootings , was the situation in Iraq — 15 % said this was the news story they followed more closely than any other .","the public focused on the aftermath of the shootings at Virginia Tech University . 46 % said this was the single news story they followed more closely than any other last week . The second most closely followed news story , far behind the shootings , was the situation in Iraq — 15 % said this was the news story they followed more closely than any other .",46 single,remained Fully 43 Americans about very 27 events very and,,News Interest vs News Coverage Situation in Iraq Stock Market,"the public remained focused on the aftermath of the shootings at Virginia Tech University . Fully 43 % of Americans followed news about the shootings very closely The second most closely followed news story , far behind the shootings , was the situation in Iraq — 27 % of the public followed events in Iraq very closely and 15 % said this was the news story they followed more closely than any other last week"
mturk_charts/no_data/two_col/21746.png,"Paris Hilton ’s troubles aside , the public remained focused on the war in Iraq last week . Fully 32 % said they were following the situation in Iraq very closely and 25 % said it was the story they followed most closely . Interest in Iraq remained substantial even though news coverage of Iraq declined significantly . Only 4 % of the national news was devoted to events on the ground in Iraq and 2 % to the Iraq policy debate . The policy debate had consistently been a top five story from the time George Bush announced the surge strategy in January through the end of May.",same,"Describe the news interest in the war in Iraq, in the week of June 4.",answer1,the public focused on the war in Iraq . Fully 32 % said they were following the situation in Iraq very closely and 25 % said it was the story they followed most closely .,the public focused on the war in Iraq . Fully 32 % said they were following the situation in Iraq very closely and 25 % said it was the story they followed most closely .,,remained last week,,Measuring News Interest Week of June 4,the public remained focused on the war in Iraq last week . Fully 32 % said they were following the situation in Iraq very closely and 25 % said it was the story they followed most closely .
