img_path,summary,question,answer
mturk_charts/no_data/two_col/7042.png,"But the public is divided on the core question shaping the debates in the early period of the Trump administration : Is it possible to cut back environmental regulations and still effectively protect water and air quality ? Some 49 % think it is possible to trim regulations and still protect air and water , while 47 % believe it is not possible to protect those resources with fewer regulations . These views differ widely by political party .",What is Americans view on imposing regulations to increase renewable energy use ?,"Some 49 % think it is possible to trim regulations and still protect air and water , while 47 % believe it is not possible to protect those resources with fewer regulations"
mturk_charts/no_data/two_col/7085.png,"The number of naturalized - citizen voters reached 10.8 million in 2016 , up from 9.3 million in 2012 . In a year when immigration played a central role in the presidential campaign , turnout among naturalized - citizen voters ( those who were immigrants born in another country who have naturalized to become U.S. citizens ) was 54.3 % , up from 53.6 % in 2012 . Overall , the voter turnout rate among foreign - born citizens trailed that of U.S.-born voters , who had a 62.1 % turnout rate in 2016 . But among Asians and Hispanics – the nation ’s two largest immigrant groups – the pattern was reversed . In 2016 , turnout among Asian naturalized citizens was 51.9 % , compared with 44.9 % for U.S.-born Asians . Among Hispanics , naturalized - citizen turnout was 53.4 % , higher than the 45.5 % turnout for U.S.-born Hispanics . The voter turnout rate increased among Millennials and those in Generation X. Millennials ( those ages 20 to 35 in 2016 ) had a 50.8 % voter turnout rate in 2016 , up from 46.4 % in 2012 when they were ages 18 to 31 . Their turnout rate increased across racial and ethnic groups , with the exception of black Millennials , 50.6 % of whom turned out in 2016 , compared with 55.0 % in 2012 . This increase in the Millennial voter turnout rate is not only because the generation has grown older ( older voters vote at higher rates than younger voters ) , but also due to a higher turnout rate among its youngest members : 45.2 % of 20- to 24 - year - olds voted in 2016 , up from 43.6 % in 2012 . Generation X ( those ages 36 to 51 in 2016 ) turnout was 62.6 % , up from 61.0 % in 2012 . By contrast , the voter turnout rate among older generations was flat . Turnout for Baby Boomers ( those ages 52 to 70 ) was 68.7 % in 2016 , compared with 68.9 % in 2012 , while among the Silent and Greatest generations ( those ages 71 and older ) , it was 70.1 % in 2016 , compared with 71.8 % in 2012 .",Compare Asians and Hispanics regarding U.S. born and Naturalized citizens in 2016 ?,"But among Asians and Hispanics – the nation ’s two largest immigrant groups – the pattern was reversed . In 2016 , turnout among Asian naturalized citizens was 51.9 % , compared with 44.9 % for U.S.-born Asians . Among Hispanics , naturalized - citizen turnout was 53.4 % , higher than the 45.5 % turnout for U.S.-born Hispanics ."
mturk_charts/no_data/two_col/7089.png,"In 2004 , the five largest companies in local TV – Sinclair , Nexstar , Gray , Tegna and Tribune – owned , operated or serviced 179 full - power stations , according to a Pew Research Center analysis of Securities and Exchange Commission filings data . That number grew to 378 in 2014 and to 443 in 2016 . If approved by regulators , Sinclair ’s acquisition of Tribune would bring its total to 208 , by far the largest among the media companies . In 2016 , the five biggest local TV companies ’ total broadcasting revenue was $ 8.3 billion , or 30 % higher than in 2014 , the previous major election year . And political advertising revenue grew by 31 % during this two - year period . ( Retransmission fee numbers are not reported separately for all five companies , though data for the industry overall show that this type of revenue has also been increasing rapidly . ) Since 2004 , these companies have more than doubled their broadcasting revenues , while their political advertising revenue has tripled .",Describe the revenue growth of the top five TV sites in recent years?,"In 2016 , the five biggest local TV companies ’ total broadcasting revenue was $ 8.3 billion , or 30 % higher than in 2014 , the previous major election year . And political advertising revenue grew by 31 % during this two - year period Since 2004 , these companies have more than doubled their broadcasting revenues , while their political advertising revenue has tripled"
mturk_charts/no_data/two_col/7112.png,"1 Shares of Orthodox Christians have risen sharply across the region , while shares of Catholics have declined . The percentage of Russians who identify as Orthodox Christians has risen substantially since the end of the USSR , from 37 % in 1991 to 71 % in the new survey . Consequently , the share of Russians who describe their religious identity as atheist , agnostic or “ nothing in particular ” has fallen . And the trend is not limited to Russia . Similar patterns are evident in Ukraine and Bulgaria . At the same time , historically Catholic countries in Central and Eastern Europe have undergone a shift in the opposite direction : The Catholic share of the population in Poland , Hungary and the Czech Republic has declined at least modestly since 1991 .",Describe the growth of Russian Orthodox Christians since the end of the USSR?,"The percentage of Russians who identify as Orthodox Christians has risen substantially since the end of the USSR , from 37 % in 1991 to 71 % in the new survey"
mturk_charts/no_data/two_col/7196.png,"In assessing why some people are poor , 53 % think it is because of circumstances beyond their control , while 34 % attribute it to a lack of effort . There has been little change in these opinions in recent years , according to a survey in December .","For the general public, why are some people poor?","In assessing why some people are poor , 53 % think it is because of circumstances beyond their control , while 34 % attribute it to a lack of effort ."
mturk_charts/no_data/two_col/7254.png,"Three - quarters of Americans are concerned about the environment , but fewer say they make an effort to live out that concern all the time . Among U.S. adults , 75 % say they are particularly concerned about helping the environment as they go about their daily lives , according to a 2016 Pew Research Center survey . But only one - in - five Americans say they make an effort to live in ways that help protect the environment “ all the time . ” Those ages 65 and older are three times as likely as those ages 18 to 29 to say they make this effort all the time ( 36 % vs. 12 % ) . Overall , 32 % of U.S. adults say they are bothered a lot by people throwing away things that could be recycled . Roughly six - in - ten Americans ( 61 % ) who say they always try to live in ways that protect the environment say it bothers them “ a lot ” when others throw away things that could be recycled . Among those who are less focused on environmental protection , only a quarter say it bothers them a lot when others do n’t recycle . People who are environmentally conscious are also twice as likely as others to say that seeing someone incorrectly putting trash in recycling bins bothers them a lot ( 42 % vs. 21 % ) .",What is the opinion of the Americans about their concern about the environment ?,"Three - quarters of Americans are concerned about the environment , but fewer say they make an effort to live out that concern all the time . Among U.S. adults , 75 % say they are particularly concerned about helping the environment as they go about their daily lives , according to a 2016 Pew Research Center survey"
mturk_charts/no_data/two_col/7271.png,"By contrast , about as many say the Democratic Party is divided as not ( 48 % mostly divided , 49 % mostly united ) . But that represents a change from October , when 39 % of registered voters thought the party was divided .",How did the opinion of democratic parties about GOP change from October 2016 to April 2017 ?,"By contrast , about as many say the Democratic Party is divided as not ( 48 % mostly divided , 49 % mostly united ) . But that represents a change from October , when 39 % of registered voters thought the party was divided"
mturk_charts/no_data/two_col/7273.png,"1 About a third of Americans ( 35 % ) say they read scripture at least once a week , while 45 % seldom or never read scripture , according to 2014 data from our Religious Landscape Study . Frequency of reading scripture differs widely among religious groups . Majorities of Jehovah ’s Witnesses ( 88 % ) , Mormons ( 77 % ) , evangelical Protestants ( 63 % ) and members of historically black Protestant churches ( 61 % ) say they read scripture at least once a week . By contrast , 65 % of Jews say they seldom or never read scripture .",Describe how frequency of reading prevails among different religious groups in U.S. ?,"Frequency of reading scripture differs widely among religious groups . Majorities of Jehovah ’s Witnesses ( 88 % ) , Mormons ( 77 % ) , evangelical Protestants ( 63 % ) and members of historically black Protestant churches ( 61 % ) say they read scripture at least once a week ."
mturk_charts/no_data/two_col/7393.png,"Perhaps not surprisingly , workers at larger private sector employers are more likely to have paid family leave available . According to the NCS data , 23 % of workers at employers with 500 or more employees had access to the benefit ( up from 17 % in 2010 ) , while only 9 % of workers at employers with fewer than 100 employees do .",Describe the distribution of paid family leave in private -sector ?,"According to the NCS data , 23 % of workers at employers with 500 or more employees had access to the benefit ( up from 17 % in 2010 ) , while only 9 % of workers at employers with fewer than 100 employees do ."
mturk_charts/no_data/two_col/7421.png,"And one more digital gap exists between China and India : social media use . Six - in - ten Chinese say they use social media , compared with only 14 % of Indians . Much of this disparity is due to the fact that more people have access to the internet in China . Nearly two - thirds of Indians with internet access ( 65 % ) say they use social media . Still , this figure among the Chinese is 84 % and has increased sharply since we first began asking the question in 2013 .",How are adults in China more socially connected than India ?,Much of this disparity is due to the fact that more people have access to the internet in China . Nearly two - thirds of Indians with internet access ( 65 % ) say they use social media
