img_path,summary,question,answer
mturk_charts/no_data/multi_col/48.png,"In a year in which big tech companies faced growing scrutiny , nine - in - ten Republicans – and around six - in - ten Democrats ( 59 % ) – said it ’s likely that social media sites intentionally censor political viewpoints . Overall , around three - quarters of U.S. adults ( 73 % ) said in June that it ’s very or somewhat likely that social media sites censor political viewpoints they find objectionable . In late May , Twitter began labeling tweets by Trump as misleading , prompting the president and some of his supporters to accuse social media platforms of censoring conservative voices .",What proportion of Democrats and Republicans said that social media sites are likely to intentionally censor political views?,"In a year in which big tech companies faced growing scrutiny , nine - in - ten Republicans – and around six - in - ten Democrats ( 59 % ) – said it ’s likely that social media sites intentionally censor political viewpoints ."
mturk_charts/no_data/multi_col/73.png,"Roughly half of Americans or more were able to correctly identify whether three of the six sources do their own reporting : ABC News ( 56 % ) , The Wall Street Journal ( 52 % ) and Facebook ( 51 % ) . At the same time , though , fewer than four - in - ten were able to correctly answer whether Google News ( 31 % ) , Apple News ( 26 % ) or HuffPost ( 23 % ) do their own news reporting . ( The survey was conducted before BuzzFeed acquired HuffPost . )",What are the main sources considered by the almost majority of Americans?,"Roughly half of Americans or more were able to correctly identify whether three of the six sources do their own reporting : ABC News ( 56 % ) , The Wall Street Journal ( 52 % ) and Facebook ( 51 % )"
mturk_charts/no_data/multi_col/76.png,"The survey asked respondents how important following the news was for being a good citizen , and those who say following the news is “ very important ” are more likely to correctly answer whether three or more of the six sources conduct their own news reporting . Over half of those who say following the news is very important ( 55 % ) correctly answered three or more of the original reporting questions , compared with 44 % of those who say following news is somewhat important and 32 % of those who say it is not too or not at all important .",What is the trend among the majority of those who say they follow the news to correctly answer three or more of the questions in the original report?,"Over half of those who say following the news is very important ( 55 % ) correctly answered three or more of the original reporting questions , compared with 44 % of those who say following news is somewhat important and 32 % of those who say it is not too or not at all important ."
mturk_charts/no_data/multi_col/89.png,"Regardless of people ’s intention to get vaccinated , 62 % of Americans report they would be uncomfortable being among the first to do so . Roughly two - thirds of those who say they would “ probably ” be vaccinated are uncomfortable being among the first as are nearly all of those who say they would not be vaccinated if a vaccine were available today . The exception comes from the roughly three - in - ten U.S. adults ( 29 % ) who say they would definitely be vaccinated ; 82 % of this group say they would be comfortable being in the first groups to be immunized against coronavirus .",What is the opinion of Americans about comfort in taking vaccination ?,"Regardless of people ’s intention to get vaccinated , 62 % of Americans report they would be uncomfortable being among the first to do so . Roughly two - thirds of those who say they would “ probably ” be vaccinated are uncomfortable being among the first as are nearly all of those who say they would not be vaccinated if a vaccine were available today ; 82 % of this group say they would be comfortable being in the first groups to be immunized against coronavirus ."
mturk_charts/no_data/multi_col/94.png,"A majority ( 75 % ) says they feel comfortable going to the grocery store given the current situation with the coronavirus outbreak , and about two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home . Just over half ( 53 % ) are comfortable going to a hair salon or barbershop .",What activities does U.S. adults think about doing comfortably during coronavirus outbreak ?,"A majority ( 75 % ) says they feel comfortable going to the grocery store given the current situation with the coronavirus outbreak , and about two - thirds ( 65 % ) say they are comfortable visiting with a close friend or family member inside their home . Just over half ( 53 % ) are comfortable going to a hair salon or barbershop"
mturk_charts/no_data/multi_col/101.png,Americans think the effectiveness of treatments for the coronavirus have improved since the early stages of the outbreak : Nearly eight - in - ten ( 78 % ) say treatments and drugs for people with COVID-19 have gotten a lot ( 37 % ) or a little ( 41 % ) better .,What is the opinion of Americans about effectiveness of treatment for the coronavirus ?,Americans think the effectiveness of treatments for the coronavirus have improved since the early stages of the outbreak : Nearly eight - in - ten ( 78 % ) say treatments and drugs for people with COVID-19 have gotten a lot ( 37 % ) or a little ( 41 % ) better .
mturk_charts/no_data/multi_col/100.png,"Though most give positive marks to hospitals and medical centers for their handling of the outbreak , 52 % of U.S. adults think the hospitals in their area will struggle to handle the number of people seeking treatment for the coronavirus over the next few months ; 47 % think they will be able to handle the number of patients . Republicans are less concerned than Democrats that hospitals will struggle to handle coronavirus caseloads , a finding in keeping with wide political differences over the degree to which the coronavirus poses a major threat to public health . Seven - in - ten of those who are very concerned about getting a case of COVID-19 that would require hospitalization believe hospitals in their area will struggle to handle patient needs over the next few months .",What does Americans think about local hospitals handling COVID-19 outbreak ?,"Though most give positive marks to hospitals and medical centers for their handling of the outbreak , 52 % of U.S. adults think the hospitals in their area will struggle to handle the number of people seeking treatment for the coronavirus over the next few months ; 47 % think they will be able to handle the number of patients"
mturk_charts/no_data/multi_col/111.png,"Iran received some of the lowest marks among the countries asked about in this year ’s survey , which also included the U.S. and China . A 14 - country median of 71 % said they disliked Iran , making critical views of it more common than unfavorable opinions of the U.S. and about as common as negative assessments of China . In five of the 14 nations surveyed , Iran is the least popular country among those asked about , and in Germany it is tied with China for last place .",What is the opinion of U.S. and Europe about Iran and China ?,"A 14 - country median of 71 % said they disliked Iran , making critical views of it more common than unfavorable opinions of the U.S. and about as common as negative assessments of China . In five of the 14 nations surveyed , Iran is the least popular country among those asked about , and in Germany it is tied with China for last place ."
mturk_charts/no_data/multi_col/115.png,"Just 21 % of Americans say relations between Republicans and Democrats will get better in the coming year . Far more ( 37 % ) expect relations to worsen , while 41 % say they will stay about the same . To be sure , more Democrats say partisan relations will stay the same ( 44 % ) or get worse ( 20 % ) than predict they will improve . But Democrats are far more optimistic than Republicans , a majority of whom ( 54 % ) say relations will get worse in the coming year , according to a Pew Research Center survey conducted Nov. 12 to 17 .",What is the opinion of the Americans about the relation between Democrats and Republicans ?,"Just 21 % of Americans say relations between Republicans and Democrats will get better in the coming year . Far more ( 37 % ) expect relations to worsen , while 41 % say they will stay about the same"
mturk_charts/no_data/multi_col/139.png,"Americans ’ and Germans ’ views of the relationship between their two countries remain sharply divergent . Americans continue to be rosy in their views of their country ’s relationship with Germany , with nearly three - quarters saying that relations are good . Nearly two - in - ten Americans say that the relationship is very good ( 19 % ) , the largest share in four years of polling and up 6 percentage points from 2019 . Among Germans , 79 % say that the relationship with the U.S. is bad , a 15 percentage point increase in those saying this since 2019 and the highest negative sentiment in four years of surveys . The share of Germans who say that relations with the U.S. are good is at a mere 18 % , the lowest point measured over the same time .",What is the opinion of U.S. and Germans about their relationship ?,"Americans ’ and Germans ’ views of the relationship between their two countries remain sharply divergent . Americans continue to be rosy in their views of their country ’s relationship with Germany , with nearly three - quarters saying that relations are good . Among Germans , 79 % say that the relationship with the U.S. is bad , a 15 percentage point increase in those saying this since 2019 and the highest negative sentiment in four years of surveys . The share of Germans who say that relations with the U.S. are good is at a mere 18 % , the lowest point measured over the same time ."
