img_path1,title1,summary1,question1,img_path2,title2,summary2,question2,img_path3,title3,summary3,question3,img_path4,title4,summary4,img_path5,title5,summary5,img_path6,title6,summary6
initial/two_col/1.png,,"The foreign-born population residing in the U.S. reached a record 44.8 million, or 13.7% of the U.S. population, in 2018. This immigrant population has more than quadrupled since the 1960s, when the 1965 Immigration and Naturalization Act took effect. Though growth has begun to slow in recent years, the number of immigrants living in the United States is projected to almost double by 2065.",How do foreigners in America compare in number to citizens?,initial/two_col/15.png,,"Univisions total revenue remained steady at slightly less than $3 billion in 2018. (Telemundos revenue is not available for analysis, as its parent company, Comcast, does not provide network-specific revenue.)",Describe the financial situation of Univision?,initial/two_col/33.png,,"In 2018, 144 local TV stations changed hands at a cost of $8.8 billion, as annually reported by BIA Advisory Services. This is up from $4.7 billion across 107 stations that experienced changes in ownership in 2017.)",Explain the trends in local TV station mergers?,mturk_charts/two_col/1.png,"Foreign-born population in the United States, 1850-2018","The foreign - born population residing in the U.S. reached a record 44.8 million , or 13.7 % of the U.S. population , in 2018 . This immigrant population has more than quadrupled since the 1960s , when the 1965 Immigration and Naturalization Act took effect . Though growth has begun to slow in recent years , the number of immigrants living in the United States is projected to almost double by 2065 .",mturk_charts/two_col/2.png,"English proficiency among U.S. immigrants, 1980-2018","Since 1980 , the share of immigrants who are proficient in English ( those who speak only English at home or speak English at least “ very well ” ) has declined , though it has increased slightly in recent years . This decline has been driven entirely by those who speak only English at home , which fell from 30 % of immigrants ages 5 and older in 1980 to 17 % in 2018 . The share who speaks English “ very well , ” meanwhile , has increased slightly , from 27 % to 37 % over the same time period .",mturk_charts/two_col/3.png,"Languages spoken among U.S. immigrants, 2018","Among the nation ’s immigrants , Spanish is by far the most spoken non - English language ( 42 % of immigrants say they speak Spanish at home ) , but it is not the only non - English language spoken by immigrants . Some 6 % of immigrants speak Chinese ( including Mandarin and Cantonese ) , 5 % speak Hindi or a related language , 4 % speak Filipino or Tagalog , 3 % speak Vietnamese , 3 % speak French and 2 % speak Dravidian ."
initial/two_col/36.png,,"The proportion of American adults with high-speed broadband service at home increased rapidly between 2000 and 2010. In recent years, however, broadband adoption growth has been much more sporadic. Today, roughly three-quarters of American adults have broadband internet service at home.",Explain the trends in broadband service adoption among Americans?,initial/multi_col/1.png,,"Before the coronavirus outbreak sent the U.S. economy into a recession, the share of American children living in poverty was on a downward trajectory, reaching record lows across racial and ethnic groups, according to a new Pew Research Center analysis of U.S. Census Bureau data.
In 2019, the year with the most recently available data, 14% of children under age 18, or 10.5 million children, were living in poverty, down from 22%, or 16.3 million, in 2010. All major racial and ethnic groups saw declines since 2010, but the greatest decreases were in the shares of Black and Hispanic children living in poverty. About two-in-ten Hispanic children (21%) were living in poverty in 2019, down from 35% in 2010. In 2019, 26% of Black children were impoverished, dropping from 39% in 2010. Even so, Black and Hispanic children were still about three times as likely as Asian (7%) and White (8%) children to be living in poverty.",Explain the trend in poverty of Hispanic children?,initial/multi_col/4.png,,"The regions of origin for immigrant populations residing in the U.S. have dramatically shifted since the passage of the 1965 Immigration and Naturalization Act. In 1960, 84% of immigrants living in the U.S. were born in Europe, Canada or other North American countries, while only 6% were from Mexico, 4% from Asia, 3% from the rest of Latin America and 3% from other areas. Immigrant origins now differ drastically, with European, Canadian and other North American immigrants making up only a small share of the foreign-born population (13%) in 2018. Asians (28%), Mexicans (25%) and other Latin Americans (25%) each make up about a quarter of the U.S. immigrant population, followed by 9% who were born in another region.",Describe the foreign born population of America?,mturk_charts/two_col/4.png,"Hispanic population in the U.S., 2000-2017","There were nearly 60 million Latinos in the United States in 2017 , accounting for approximately 18 % of the total U.S. population . In 1980 , with a population of 14.8 million , Hispanics made up just 6.5 % of the total U.S. population . For more , read the accompanying blog post , “ Key facts about U.S. Hispanics and their diverse heritage . ” For facts on the foreign - born population in the United States , see our profile on U.S. immigrants .",mturk_charts/two_col/9.png,"Views on abortion, 2019: A detailed look","Though abortion is a divisive issue , more than half of U.S. adults take a non - absolutist position , saying that in most – but not all – cases , abortion should be legal ( 34 % ) or illegal ( 26 % ) . Fewer take the position that in all cases abortion should be either legal ( 27 % ) or illegal ( 12 % ) .",mturk_charts/two_col/10.png,Weekly broadcast audience for top 20 NPR-affiliated radio stations,"The top 20 NPR - affiliated public radio stations ( by listenership ) had on average a total weekly listenership of about 11 million in 2018 , about the same as in 2017 . ( This includes listeners of NPR programming as well as original or other syndicated content aired on these stations . )"
initial/multi_col/37.png,,"Digital advertising continues to grow as a proportion of total advertising revenue, a trend driven in large part by growth in advertising on mobile devices. The estimates below are for all digital advertising revenue, not just for news outlets, and thus are an indicator of the general direction of the economic health of the digital realm rather than the digital news sector specifically. (There is no publicly available economic data specifically for all digital-native news outlets studied above.)",Explain the growth of digital advertising?,initial/multi_col/56.png,,"The vast majority of Americans “ 96% “ now own a cellphone of some kind. The share of Americans that own smartphones is now 81%, up from just 35% in Pew Research Centers first survey of smartphone ownership conducted in 2011. Along with mobile phones, Americans own a range of other information devices. Nearly three-quarters of U.S. adults now own desktop or laptop computers, while roughly half now own tablet computers and roughly half own e-reader devices.",Do Americans show an increasing acceptance of digital technology?,initial/no_data/4.png,,"Texting is by far the most frequent way teens interact with their romantic partner. Nearly three-quarters (72%) of teen daters say they spend time texting with their partner daily. Among teens who have had relationships, talking on the phone (39%) ranks second for everyday interactions, followed by instant messaging (29%), being together in person (21%), social media (21%) and messaging apps (20%). Fewer teen daters interact daily with their romantic partner by video  chatting, emailing or playing video games.",How do teens prefer to interact with their partner?,mturk_charts/two_col/11.png,PBS NewsHour viewership,"The audience for public television programming declined over the past year : In 2018 , the NewsHour program , which airs on PBS , attracted 1.1 million viewers on average , down 6 % from the year before .",mturk_charts/two_col/12.png,Local public radio station revenue,"At the local public radio level , an analysis of the public filings provided by 123 of the largest news - oriented licensees ( organizations that operate local public radio stations ) shows that in 2017 – the last year for which reliable data is available – total revenue for this group was $ 904.7 million .",mturk_charts/two_col/13.png,Local public radio station membership,"The total number of individual members – defined as anyone who has given money to one of the stations owned by these 123 licensees in each calendar year – in 2017 was 2.3 million , about a 10 % increase over the previous year ."
initial/no_data/5.png,,"India’s massive population includes not only the vast majority of the world’s Hindus, but also the second-largest group of Muslims within a single country, behind only Indonesia. By 2050, India’s Muslim population will grow to 311 million, making it the largest Muslim population in the world, according to Pew Research Center projections. Still, Indian Muslims are projected to remain a minority in their country, making up about 18% of the total population at midcentury, while Hindus figure to remain a majority (about 77%).",Briefly describe the Muslim population of India?,initial/no_data/6.png,,"Communal tensions – between Indians of various religious faiths and castes – have long plagued Indian society. Most Indians are at least somewhat concerned about these tensions, but even larger shares are worried about other national issues, according to a 2017 Pew Research Center survey.  Almost four-in-ten Indians (37%) said “communal relations” are a very big problem in their country, while an additional 31% named this as a moderately big problem. But greater shares of Indian adults named crime, terrorism, corruption, lack of employment opportunities, rising prices and other issues as major national problems.",How are relations between communities of India?,initial/no_data/7.png,,"There’s more agreement, however, when it comes to information from the Chinese government: 84% of Americans say they place not too much or no trust in information from Beijing regarding the coronavirus outbreak.
Many also believe the current crisis will have a long-term impact on China’s global stature: 50% say China will have less influence in world affairs after the pandemic. As a March Pew Research Center survey found, overall negative attitudes toward China have been on the rise – 66% of Americans expressed an unfavorable opinion of China, the most negative rating for the country since the Center began asking the question in 2005.",How has the coronavirus situation affected China?,mturk_charts/two_col/14.png,Local public radio station expenses,"Program and production expenses for the 123 news - oriented local public radio licensees was $ 446.8 million in 2017 , compared with $ 439.6 million in 2016 . While program and production expenses comprise only a portion of overall station expenses , an increase in these kinds of expenditures indicates that the stations are directing more dollars toward the creation of news content .",mturk_charts/two_col/15.png,Revenue for Univision network,"Univision ’s total revenue remained steady at slightly less than $ 3 billion in 2018 . ( Telemundo ’s revenue is not available for analysis , as its parent company , Comcast , does not provide network - specific revenue . )",mturk_charts/two_col/16.png,Revenue for Spanish news radio stations,"While audience data is not available for Spanish - language news radio , revenue data is available and shows relative stability . Average station revenue for Spanish - language news stations that are listed in the BIA Advisory Services database have shown an overall decline of 12 % since 2011 , to about $ 1.2 million ."
initial/no_data/8.png,,"Millennials have often led older Americans in their adoption and use of technology, and this largely holds true today. But there has been significant growth in tech adoption since 2012 among older generations – particularly Gen Xers and Baby Boomers.More than nine-in-ten Millennials (93% of those who turn ages 23 to 38 this year) own smartphones, compared with 90% of Gen Xers (those ages 39 to 54 this year), 68% of Baby Boomers (ages 55 to 73) and 40% of the Silent Generation (74 to 91), according to a new analysis of a Pew Research Center survey of U.S. adults conducted in early 2019.",Describe the use of technology among different age groups?,initial/no_data/9.png,,"In terms of specific platforms, around three-fourths or more of both Millennials and Gen Xers now report using Facebook (84% vs. 74%, respectively). Boomers and Silents have both increased their Facebook use by double digits since 2015. In fact, the share of Silents using Facebook has nearly doubled in the past four years, from 22% to 37%",Describe the trends in Facebook usage among Boomers and Silents?,initial/no_data/10.png,,"While generations differ in their use of various technologies, a  2018 Center survey found that younger internet users also were more likely than older Americans who use the internet to say the internet has had a positive impact on society: 73% of online Millennials said the internet has been mostly a good thing for society, compared with 63% of users in the Silent Generation.",What is the opinion of older users of the effects of internet on society?,mturk_charts/two_col/17.png,Weekly terrestrial radio listenership,"The audience for terrestrial radio remains steady and high : In 2018 , 89 % of Americans ages 12 or older listened to terrestrial radio in a given week , according to Nielsen Media Research data published by the Radio Advertising Bureau , a figure that has changed little since 2009 .",mturk_charts/two_col/18.png,Online radio listenership in cars by cellphone owners,"Online radio listening in cars , such as listening to AM / FM stations online or streaming other online audio , remained steady after years of increase . In 2019 , 41 % of Americans ages 12 and older have ever listened to online radio in a car using a phone , up from just 5 % in 2010 .",mturk_charts/two_col/21.png,Unique visitors of newspaper websites,"Gauging digital audience for the entire newspaper industry is difficult since many daily newspapers do not receive enough traffic to their websites to be measured by Comscore , the data source relied on here . Thus , the figures offered above reflect the top 50 U.S. daily newspapers based on circulation . In the fourth quarter of 2018 , there was an average of 11.6 million monthly unique visitors ( across all devices ) for these top 50 newspapers . This is nearly the same as in Q4 2017 ( 11.5 million ) and 2016 ( 11.7 million ) ; following two years of growth from 2014 to 2016 , newspapers ’ website traffic has leveled off . ( The list of top 50 papers is based on Sunday circulation but also includes The Wall Street Journal , which does not report Sunday circulation to AAM . It also includes The Washington Post and The New York Times , which make the top 50 even though they do not fully report their digital circulation to AAM . For more details and the full list of newspapers , see our methodology . )"
initial/no_data/11.png,,"When it comes to experiencing abuse online, roughly half of adults who have no religious affiliation (47%) say they have experienced any form of online harassment, compared with about four-in-ten Americans who are Protestant or Catholic (37% and 38%, respectively). Similarly, the religiously unaffiliated are more likely than Protestant or Catholic adults to say they have experienced any more severe harassing behaviors online, such as stalking, physical threats, sustained harassment or sexual harassment. Hispanic adults who are Catholic (31%) are also particularly likely to have experienced these more severe forms of harassment online.",Do adults without religious affiliations receive less abuse?,initial/no_data/12.png,,"Anonymity can play a central role in fostering abusive behavior online. But in many cases, targets of online harassment name someone they know personally as the responsible party. About one-in-four Americans (26%) who have been harassed online say an acquaintance was behind their most recent incident, according to a recent Pew Research Center report. And in other cases, targets of online abuse are even more familiar with their harassers: 18% of those who have been harassed say their most recent incident involved a friend, while 11% say it involved a family member. Smaller shares say their most recent experience involved a former romantic partner (7%) or a co-worker (5%).",What is the relation of targets of harassment to perpetrators?,initial/no_data/13.png,,"In its annual survey, BJS asks crime victims whether they reported their crime to police or not. In 2019, only 40.9% of violent crimes and 32.5% of household property crimes were reported to authorities. BJS notes that there are a variety of reasons why crime might not be reported, including fear of reprisal or “getting the offender in trouble,” a feeling that police “would not or could not do anything to help,” or a belief that the crime is “a personal issue or too trivial to report.”",How often are crimes reported in US?,mturk_charts/two_col/22.png,Visit duration of newspaper websites,"Average minutes per visit for the top 50 U.S. daily newspapers , based on circulation , is about 2 1/3 minutes in Q4 2018 . This is down 5 % from Q4 2017 .",mturk_charts/two_col/23.png,Share of newspaper advertising revenue coming from digital advertising,"Digital advertising accounted for 35 % of newspaper advertising revenue in 2018 , based on this analysis of publicly traded newspaper companies . The portion stood at 31 % in 2017 – but at 17 % in 2011 , the first year it was possible to perform this analysis .",mturk_charts/two_col/24.png,Average audience for network TV evening news,"The average audience for the evening newscasts for ABC , CBS and NBC remained relatively stable in 2018 , with 5.3 million viewers tuning in on average , compared with 5.2 million in 2017 , according to Comscore TV Essentials ® data . ( Average audience is defined as the average number of TVs tuned to a program throughout a time period . )"
initial/no_data/14.png,,"Against the backdrop of organized school walkouts and marches calling for new legislation to address gun violence, teens see more value in some proposed measures than others. Asked to assess how effective various measures would be at preventing school shootings, 86% of teens say that preventing people with mental illnesses from purchasing guns and that improving mental health screening and treatment would be effective, including majorities who say each of these proposals would be very effective. Roughly eight-in-ten teens (79%) say that having metal detectors in schools would be effective and 66% say the same about banning assault-style weapons.",What opinions do teens hold on gun regulations?,initial/no_data/15.png,,"Income inequality in the U.S. is the highest of all the G7 nations, according to data from the Organization for Economic Cooperation and Development. To compare income inequality across countries, the OECD uses the Gini coefficient, a commonly used measure ranging from 0, or perfect equality, to 1, or complete inequality. In 2017, the U.S. had a Gini coefficient of 0.434. In the other G7 nations, the Gini ranged from 0.326 in France to 0.392 in the UK. Globally, the Gini ranges from lows of about 0.25 in some Eastern European countries to highs of 0.5 to 0.6 in countries in southern Africa, according to World Bank estimates.",How does income inequality compare in US to other countries?,initial/no_data/16.png,,"The population of the island was 3.4 million in 2016, down from a peak of more than 3.8 million in 2004. It is projected to decline in the coming decades, to about 3 million in 2050. Puerto Rico’s population has grown steadily since at least the 1700s, and it increased each decade between 1910 (1.1 million) to 2000 (3.8 million). The population grew even during the Great Migration that occurred after World War II and into the 1960s, when hundreds of thousands left the island for the mainland. ",Describe the population trend in Puerto Rico?,mturk_charts/two_col/25.png,Average audience for network TV morning news,"Average audience for morning news programs from ABC , CBS and NBC declined over the past year , down 4 % in 2018 , to about 3.2 million from 3.3 million .",mturk_charts/two_col/26.png,Average audience for network TV Sunday morning political talk shows,"Average audience for the network TV Sunday morning political talk shows on ABC , CBS , Fox and NBC – This Week , Face the Nation , Fox News Sunday and Meet the Press , respectively – declined 8 % in 2018 , to about 2.3 million average viewers .",mturk_charts/two_col/27.png,Average audience for network TV newsmagazines,"The average audience for the four newsmagazine shows aired by the networks – ABC ’s 20/20 , CBS ’s 60 Minutes and 48 Hours , and NBC ’s Dateline – declined in 2018 , down 8 % from 2017 ."
initial/no_data/17.png,,"Hispanics of Puerto Rican origin living on the island have a lower median household income and a higher child poverty rate than Hispanics of Puerto Rican origin living on the U.S. mainland, according to a Pew Research Center analysis of 2015 Census Bureau data. The median age of Puerto Ricans on the island was 40 in 2015, compared with 46 for the island-born living on the mainland. By comparison, the median age was only 22 for Puerto Rican-origin Hispanics born and living on the mainland. The median household income of Puerto Ricans living on the island was $18,626 in 2015. It was more than twice as high among Puerto Ricans born and living on the mainland ($47,000) and island-born Puerto Ricans living on the mainland ($33,300). Nearly six-in-ten Puerto Rican children on the island (58%) lived in poverty in 2015, as did 45% of island-born children living on the mainland. Only 30% of Puerto Rican children born on the mainland were in poverty.",How do Puerto Ricans on the island differ demographically from Puerto Ricans on the mainland?,initial/no_data/18.png,,"When it comes to education, sub-Saharan Africa stands out for making the biggest improvement in access to education since 1990 compared with other regions of the world. The proportion of children enrolled in primary or secondary school increased by 54% over the past 25 years. Nonetheless, the region has not caught up with other parts of the globe. Every other developing region has reached roughly 95% net enrollment or higher, compared with 80% in sub-Saharan Africa. Perhaps not surprisingly, our poll finds that a median of 81% across the nine countries surveyed in this region say poor-quality schools are a major domestic problem.",How is the education situation in Sub Saharan Africa?,initial/no_data/19.png,,"The survey – conducted in late 2019 and early 2020 in 20 places across Europe, the Asia-Pacific region, and in the United States, Canada, Brazil and Russia – comes as automation has remade workplaces around the world and AI increasingly powers things from social media algorithms to technology in cars and everyday appliances. Views of AI are generally positive among the Asian publics surveyed: About two-thirds or more in Singapore (72%), South Korea (69%), India (67%), Taiwan (66%) and Japan (65%) say AI has been a good thing for society. Many places in Asia have emerged as world leaders in AI.",What are the views of the world on AI?,mturk_charts/two_col/28.png,Advertiser expenditure for evening network news,"Combined advertiser expenditures for the evening broadcast news programs , ABC ’s World News Tonight , CBS Evening News and NBC Nightly News , were $ 518 million in 2018 , a decline of 6 % compared with 2017 , according to estimates from Kantar Media . ( This data reflects the amount of money paid by advertisers , rather than the amount of revenue actually earned by networks . )",mturk_charts/two_col/29.png,Advertiser expenditure for morning network news,"The three networks ’ advertiser expenditures for the morning news programs saw a slight increase in 2018 , increasing 3 % to $ 1.13 billion from $ 1.09 billion .",mturk_charts/two_col/30.png,Retransmission fee revenue for U.S. local TV stations,"Revenue from retransmission fees – the fees paid by cable and satellite systems to carry local channels – has been increasing rapidly in the past decade , according to estimates from Kagan , a media research group in S&amp;P Global Market Intelligence . In 2018 , retransmission revenue reached almost $ 10.2 billion , up from $ 9.4 billion in 2017 ; Kagan projects that this figure will reach $ 12.2 billion by 2023 ."
initial/no_data/20.png,,"A 20-public median of 48% say genetically modified, or GM, foods are unsafe to eat, while a much smaller median of 13% say GM foods are safe. The survey included an option for people with limited familiarity about GM foods to indicate this; a median of 37% say they don’t know enough to offer a view about the safety of GM foods. Majorities in places such as Russia (70%), Italy (62%), India (58%) and South Korea (57%) view GM foods as generally unsafe to eat. The balance of opinion tilts negative even in places where sizable shares say they don’t know enough about GM foods to offer a view. For example, 47% of Spaniards say GM foods are unsafe, while just 13% say they are safe to eat. Australia is the only place surveyed where at least as many view GM foods as safe as view them to be unsafe (31% to 31%).",What are the views of the world on GMO’s?,initial/no_data/21.png,,"About half of Americans (52%) believe that within the next 50 years science will find a way to eliminate virtually all birth defects through gene editing. But majorities of Americans harbor at least some reservations about the impact on society of more widespread use of gene editing, according to a new Pew Research Center survey. Roughly six-in-ten Americans (58%) say one very likely negative effect that will result from gene editing is that it will increase inequality because it will only be available for the wealthy. Another 54% express concern that, even if gene editing is appropriate for certain purposes, it will lead to a slippery slope, with some using it in morally unacceptable ways. Far fewer Americans see upsides if gene editing for babies were to become widely available. About one-in-five (18%) consider it very likely that gene editing would pave the way for new medical advances that benefit society, and 16% have a similar degree of confidence that it would help people live longer and better quality lives. Roughly a third or more consider each of these as not too or not at all likely to transpire.",What are the views of the world on gene editing?,initial/no_data/23.png,,"Support for the death penalty in the U.S. has ticked up recently, but is far lower than it was two decades ago. A Pew Research Center survey conducted in April and May 2018 found that 54% of Americans favor the death penalty for people convicted of murder, while 39% oppose it. That was up from 2016, when 49% of U.S. adults said they favored the death penalty, compared with 42% who opposed it. But it was far lower than in 1996, when 78% of Americans supported capital punishment for those convicted of murder.",How do americans view the death penalty?,mturk_charts/two_col/31.png,Political advertising revenue at local TV companies,"Six major publicly held local TV station companies – Tribune , Nexstar , Sinclair , Tegna , Gray and Scripps – report political advertising revenue separately from other types of revenues in their Securities and Exchange Commission filings . In 2018 , the six companies reported a total of $ 1.2 billion in political advertising revenue , compared with $ 843 million in 2016 and $ 696 million in 2014 , the two most recent election years . ( Data points for 2012 to 2016 also include Media General , which was purchased by Nexstar in 2017 . )",mturk_charts/two_col/32.png,Number of hours dedicated to local TV news,"The average amount of weekday local TV news programming was increased slightly in 2018 , according to the RTDNA / Hofstra University survey . Local TV stations dedicated an average of 5.9 hours to news programming per weekday in 2018 , up slightly from 5.6 hours in 2017 .",mturk_charts/two_col/33.png,Mergers and acquisitions of local TV stations,"In 2018 , 144 local TV stations changed hands at a cost of $ 8.8 billion , as annually reported by BIA Advisory Services . This is up from $ 4.7 billion across 107 stations that experienced changes in ownership in 2017 . )"
initial/no_data/24.png,,"Following the passage of a second stimulus package in December in response to the impact of the coronavirus outbreak, 79% of U.S. adults say another economic assistance package will be necessary. Just 20% say another package will not be needed. The level of support for an additional package today is nearly identical to the share of Americans (80%) who said more coronavirus aid was needed in the weeks leading up to passage of a $900 billion stimulus bill late last year, according to a new Pew Research Center survey. While majorities of both Republicans and Democrats say they think another economic assistance package will be necessary, Republicans are less likely to say this.",Is the economic assistance package of US sufficient?,initial/no_data/25.png,,"By one measure, U.S. income inequality is the highest it’s been since 1928. In 1982, the highest-earning 1% of families received 10.8% of all pretax income, while the bottom 90% received 64.7%, according to research by UC-Berkeley professor Emmanuel Saez. Three decades later, according to Saez’ preliminary estimates for 2012, the top 1% received 22.5% of pretax income, while the bottom 90%’s share had fallen to 49.6%.",What was the US inequality situation in 2012?,initial/no_data/26.png,,"The issue of income inequality is back in the news at a time when the U.S. public believes there is a growing gulf between rich and poor that is likely to continue, according to recent Pew Research Center surveys. President Obama focused on the issue in a Wednesday speech in which he said there was “a dangerous and growing inequality” in the nation which now stood as “the defining challenge of our time.” A substantial majority of Americans (65%) said in an July 2012 Pew Research survey that they believed the income gap between the rich and poor had widened over the last decade. Just 20% said it had stayed the same and 7% said it was smaller. Most of those (57%) who believed the gap had grown said it was a bad thing for society.",Do Americans see a growing gap between rich and poor?,mturk_charts/two_col/34.png,Smartphone dependency over time,"A growing share of Americans now use smartphones as their primary means of online access at home . Today roughly one - in - five American adults are “ smartphone - only ” internet users – meaning they own a smartphone , but do not have traditional home broadband service .",mturk_charts/two_col/35.png,Internet use over time,"When Pew Research Center began systematically tracking Americans ’ internet usage in early 2000 , about half of all adults were already online . Today , nine - in - ten American adults use the internet .",mturk_charts/two_col/36.png,Home broadband use over time,"The proportion of American adults with high - speed broadband service at home increased rapidly between 2000 and 2010 . In recent years , however , broadband adoption growth has been much more sporadic . Today , roughly three - quarters of American adults have broadband internet service at home ."
