img_path,summary,question_resolution,question,answer_resolution,abstractive_answer,extractive_answer,decontextualizated_text_added,decontextualizated_text_removed,extra_added_text
mturk_charts/no_data/multi_col/3151.png,"Americans broadly agree that elected officials should avoid using heated language because it could encourage violence . Nearly three - quarters of Americans ( 73 % ) say this , while just a quarter believe that elected officials “ should be able to use heated language to express themselves without worrying about whether some people may act on what they say . ”",same,Describe the proportion of Americans who say elected politicians should avoid language because of its consequences?,answer2,"Nearly three - quarters of Americans ( 73 % ) say this , while just a quarter believe that elected officials “ should be able to use heated language to express themselves without worrying about whether some people may act on what they say","Nearly three - quarters of Americans ( 73 % ) say this , while just a quarter believe that elected officials “ should be able to use heated language to express themselves without worrying about whether some people may act on what they say",,,
mturk_charts/no_data/multi_col/3152.png,"Today , roughly two - thirds of Democratic and Democratic - leaning registered voters ( 65 % ) say they have an excellent ( 23 % ) or good ( 42 % ) impression of the Democratic presidential candidates as a group . By comparison , in September 2015 , only about half of Democratic voters ( 51 % ) said the same .",same,Describe the trend among immigrants who identify with the Democratic Party over the party's presidential candidates?,answer1,"Today , roughly two - thirds of Democratic and Democratic - leaning registered voters ( 65 % ) say they have an excellent ( 23 % ) or good ( 42 % ) impression of the Democratic presidential candidates as a group","Today , roughly two - thirds of Democratic and Democratic - leaning registered voters ( 65 % ) say they have an excellent ( 23 % ) or good ( 42 % ) impression of the Democratic presidential candidates as a group",,,
mturk_charts/no_data/multi_col/3154.png,"Today , about half of voters ( 52 % ) say they have given a lot of thought about the presidential candidates – the highest share at this early point in an election cycle since the question was first asked in the run - up to the 2008 election . Similar majorities of both Republican and Democratic voters say they have given a lot of thought to the 2020 candidates running for president ( 55 % and 52 % , respectively ) . Among registered Democratic and Democratic - leaning voters , the shares who say they have given a lot of thought to the candidates is higher than the shares who said this at similar points in the previous three election cycles . Today , about half of Democratic voters say this ( 52 % ) , compared with smaller shares in 2015 ( 43 % ) , 2011 ( 22 % ) and 2007 ( 37 % ) . Republican voters are about as likely to say they ’ve thought about the 2020 candidates as they were in September 2015 – when there were over 15 candidates running for the GOP presidential nomination .",same,Describe the proportion of American voters who thought hard about the presidential candidates?,answer1,about half of voters ( 52 % ) say they have given a lot of thought about the presidential candidates,about half of voters ( 52 % ) say they have given a lot of thought about the presidential candidates,,,
mturk_charts/no_data/multi_col/3156.png,"Attention to the presidential election at this point in the cycle is also at a historic high in Pew Research Center surveys dating back more than three decades . Today , 63 % of all U.S. adults say they have been following news about candidates for the 2020 presidential election very or fairly closely . This is 9 points higher than in August of 2015 , and 10 or more points higher than similar points for all elections dating back to when this question was first asked in 1987 . In the past , attention to presidential candidates was generally higher in election years when both political parties held primary contests . For example , early interest in news about candidates was higher in 2015 and 2007 than it was in 2011 – when only one party held primaries for the presidential nomination .",same,What proportion of American adults said they followed the news about the candidates for the 2020 presidential election very or very closely?,answer1,63 % of all U.S. adults say they have been following news about candidates for the 2020 presidential election very or fairly closely,63 % of all U.S. adults say they have been following news about candidates for the 2020 presidential election very or fairly closely,,,
mturk_charts/no_data/multi_col/3162.png,Americans see priorities other than a moon or Mars landing as more pressing for NASA . About six - in - ten ( 63 % ) say one of the organization ’s top priorities should be using space to monitor key parts of Earth ’s climate system . About four - in - ten or more said other top priorities should include conducting basic scientific research to increase knowledge of space ( 47 % ) and developing technologies that could be adapted for other uses ( 41 % ) .,same,Describe the majority opinion on what NASA's top priority is?,answer1,About six - in - ten ( 63 % ) say one of the organization ’s top priorities should be using space to monitor key parts of Earth ’s climate system,About six - in - ten ( 63 % ) say one of the organization ’s top priorities should be using space to monitor key parts of Earth ’s climate system,,,
mturk_charts/no_data/multi_col/3163.png,"However , even if space travel does become commonplace , more than half of Americans ( 58 % ) say they would not be interested in going . People who are n’t interested in orbiting the Earth in a spacecraft cite a number of concerns , including thinking it would be too expensive or scary or that their health or age would not allow for safe travel . Among the 42 % who would be interested , the most common reason is that they want to experience something unique .",same,Describe the proportion of Americans who are not interested in going on space travel if it becomes common?,answer1,"even if space travel does become commonplace , more than half of Americans ( 58 % ) say they would not be interested in going","even if space travel does become commonplace , more than half of Americans ( 58 % ) say they would not be interested in going",,,
mturk_charts/no_data/multi_col/3166.png,"Americans have little confidence that private space companies will minimize space debris . Just 13 % of Americans say they have a great deal of confidence that private space companies will minimize the amount of human - made space debris that they put into Earth ’s orbit – including fragments of rockets , satellites and other human - made objects . About half ( 51 % ) of Americans say they have not too much or no confidence at all that private companies will minimize the debris they create .",same,What Americans think about debris on space?,answer1,Just 13 % of Americans say they have a great deal of confidence that private space companies will minimize the amount of human - made space debris that they put into Earth ’s orbit About half ( 51 % ) of Americans say they have not too much or no confidence at all that private companies will minimize the debris they create .,Just 13 % of Americans say they have a great deal of confidence that private space companies will minimize the amount of human - made space debris that they put into Earth ’s orbit About half ( 51 % ) of Americans say they have not too much or no confidence at all that private companies will minimize the debris they create .,,,
mturk_charts/no_data/multi_col/3173.png,"A new Pew Research Center analysis estimates that around one - in - five adult Twitter users in the U.S. ( 19 % ) follow Trump ’s personal account on the platform , @realDonaldTrump . Trump ’s immediate predecessor , Barack Obama ( @BarackObama ) , is followed by 26 % of U.S. adult Twitter users . Bill Clinton is the only other former president with a public Twitter account , followed by 6 % of adult users . ( George W. Bush has a private account and former president Jimmy Carter does not have a personal Twitter account . )",same,Describe the amount of twitter followers of political leaders in US,answer1,around one - in - five adult Twitter users in the U.S. ( 19 % ) follow Trump ’s personal account on the platform Barack Obama is followed by 26 % of U.S. adult Twitter users Bill Clinton is followed by 6 % of adult users,around one - in - five adult Twitter users in the U.S. ( 19 % ) follow Trump ’s personal account on the platform Barack Obama is followed by 26 % of U.S. adult Twitter users Bill Clinton is followed by 6 % of adult users,,,
mturk_charts/no_data/multi_col/3180.png,"Depression has become increasingly common among American teenagers – especially teen girls , who are now almost three times as likely as teen boys to have had recent experiences with depression . In 2017 , 13 % of U.S. teens ages 12 to 17 ( or 3.2 million ) said they had experienced at least one major depressive episode in the past year , up from 8 % ( or 2 million ) in 2007 , according to a Pew Research Center analysis of data from the 2017 National Survey on Drug Use and Health . One - in - five teenage girls – or nearly 2.4 million – had experienced at least one major depressive episode ( the proxy measure of depression used in this analysis ) over the past year in 2017 . By comparison , 7 % of teenage boys ( or 845,000 ) had at least one major depressive episode in the past 12 months .",same,Describe the increase of teen girls experiencing depression in the US.,answer2,One - in - five teenage girls – or nearly 2.4 million – had experienced at least one major depressive episode ( the proxy measure of depression used in this analysis ) over the past year in 2017,One - in - five teenage girls – or nearly 2.4 million – had experienced at least one major depressive episode ( the proxy measure of depression used in this analysis ) over the past year in 2017,,,
mturk_charts/no_data/multi_col/3182.png,"Americans have complicated views about the role social media companies should play in removing offensive content from their platforms . A sizable majority of U.S. adults ( 66 % ) say social media companies have a responsibility to remove offensive content from their platforms , but just 31 % have a great deal or fair amount of confidence in these companies to determine what offensive content should be removed . Overall , about half of Republicans and Republican - leaning independents ( 52 % ) say social media companies have a responsibility to remove offensive content from their platforms . A much larger share of Democrats and Democratic leaners ( 77 % ) say social media companies have this responsibility .",same,Describe the trend in opinions among American adults towards removing offensive content from social media platforms?,new_answer,"A sizable majority of U.S. adults ( 66 % ) say social media companies have a responsibility to remove offensive content from their platforms , but just 31 % have a great deal or fair amount of confidence in these companies to determine what offensive content should be removed .","A sizable majority of U.S. adults ( 66 % ) say social media companies have a responsibility to remove offensive content from their platforms , but just 31 % have a great deal or fair amount of confidence in these companies to determine what offensive content should be removed .",.,,
